drugbank_id,drug_name,fda_app_n,atc_codes
DB10828,Trichophyton schoenleinii,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10829,Basil,BLA102223|BLA102192,
DB10830,Mung bean,BLA102223,
DB10831,Betula papyrifera pollen,BLA101376|BLA102223|BLA102223|BLA102223|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10832,Betula occidentalis pollen,BLA102223|BLA102223|BLA102223|BLA101833|BLA101833|BLA101833|BLA101833|BLA102211|BLA101833|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA101833|BLA101833|BLA101833|BLA101833,
DB10833,Betula alleghaniensis pollen,BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10834,Ustilago cynodontis,BLA102223|BLA101833|BLA102223|BLA101376|BLA101833|BLA101833|BLA102223|BLA102223|BLA102223|BLA102211|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10835,Ustilago nuda hordei,BLA101833|BLA102223|BLA101833|BLA101833|BLA102223|BLA102223|BLA102223|BLA102211|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10836,Bromus secalinus pollen,BLA102223|BLA102211|BLA102226|BLA102223|BLA101376|BLA102223|BLA102223,
DB10837,Beta vulgaris pollen,BLA101833|BLA101833|BLA101833|BLA101833|BLA102211|BLA102223|BLA101376,
DB10838,Chenopodium botrys pollen,BLA102223|BLA102223|BLA102223|BLA102223,
DB10839,Mycocladus corymbiferus,BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10840,Acrothecium robustum,BLA102223|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223,
DB10841,Humicola grisea,BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10842,Microsporum audouinii,BLA102223|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223,
DB10843,Microsporum canis,BLA102223|BLA102223|BLA102223|BLA101833|BLA102223|BLA101376|BLA102223,
DB10844,Apiospora montagnei,BLA102223|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223,
DB10845,Phycomyces blakesleeanus,BLA102223|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223,
DB10846,Sporotrichum pruinosum,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10847,Stachybotrys chartarum,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA102223,
DB10848,Syncephalastrum racemosum,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10849,Tetracoccosporium paxianum,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10850,Verticillium albo-atrum,BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA101376,
DB10851,White catfish,BLA102223,
DB10852,Carob,BLA102223,
DB10853,Sweet cherry,BLA103753|BLA102223|BLA101833,
DB10855,Opilio crab,BLA102223,
