drugbank_id,drug_name,fda_app_n,atc_codes
DB00001,Lepirudin,NDA020807,B01AE02
DB00002,Cetuximab,BLA125084|BLA125084,L01FE01
DB00003,Dornase alfa,BLA103532,R05CB13
DB00004,Denileukin diftitox,BLA761312|BLA103767,L01XX29
DB00005,Etanercept,BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA761066|BLA761066,L04AB01
DB00006,Bivalirudin,NDA020873|NDA020873|NDA020873|NDA211215|ANDA206551|ANDA091602|ANDA202471|ANDA205962|ANDA201577|NDA020873|NDA020873|ANDA210031|ANDA210031|ANDA090189|ANDA204876|ANDA090811|ANDA091602|ANDA091602|NDA020873|ANDA213078|NDA211215|ANDA210031|NDA020873|NDA211215|NDA208374|NDA208374|NDA211215,B01AE06
DB00007,Leuprolide,NDA211488|NDA211488|NDA211488|NDA021343|NDA021379|NDA021488|NDA021731|NDA021343|NDA021379|NDA021488|NDA021731|NDA021343|NDA021379|NDA021488|NDA021731|NDA021731|NDA021343|NDA021379|NDA021488|NDA213150|NDA213150|ANDA075721|ANDA074728|ANDA075471|ANDA078885|ANDA078885|ANDA074728|ANDA074728|ANDA212963|ANDA078885|ANDA215336|ANDA213829|ANDA075471|ANDA217957|ANDA217957|ANDA217957|ANDA213829|NDA205054|NDA021343|NDA021379|NDA021488|NDA021731|NDA203696|NDA203696|NDA019010|NDA020011|NDA020011|NDA020263|NDA020263|NDA020263|NDA020517|NDA020011|NDA020517|NDA020517|NDA019732|NDA020517|NDA020708|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA205054|NDA021379|NDA021731|NDA021488|NDA021343,L02AE51|L02AE02
DB00008,Peginterferon alfa-2a,BLA103964|BLA103964|BLA103964|BLA103964|BLA103964|BLA103964,L03AB11|L03AB61
DB00009,Alteplase,BLA103172|BLA103172|BLA103172,B01AD02|S01XA13
DB00010,Sermorelin,,V04CD03|H01AC04
DB00011,Interferon alfa-n1,,L03AB06
DB00012,Darbepoetin alfa,BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951,B03XA02
DB00013,Urokinase,,B01AD04
DB00014,Goserelin,NDA019726|NDA020578|NDA019726|NDA020578|NDA019726|NDA019726,L02AE03
DB00015,Reteplase,BLA103786|BLA103786|BLA103786|BLA103786,B01AD07
DB00016,Erythropoietin,BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545,B03XA01
DB00017,Salmon calcitonin,ANDA076979|NDA020313|ANDA076396|ANDA076979|ANDA076979|ANDA212416|ANDA209358|ANDA076396|ANDA215715|ANDA213766|ANDA212675|ANDA219196|ANDA216294|NDA021406|NDA021406|NDA020313|NDA017808|NDA017808|NDA020313|NDA017808|NDA017808|NDA017808,H05BA01
DB00018,Interferon alfa-n3,BLA103158,
DB00019,Pegfilgrastim,BLA761075|BLA761075|BLA761084|BLA125031|BLA125031|BLA125031|BLA761111|BLA761173|BLA761173|BLA761039|BLA761039|BLA761039|BLA761045,L03AA13
DB00020,Sargramostim,BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362,L03AA09
DB00022,Peginterferon alfa-2b,BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949,L03AB10|L03AB60
DB00023,Asparaginase Escherichia coli,BLA101063|BLA761179,L01XX02
DB00024,Thyrotropin alfa,BLA020898|BLA020898,H01AB01
DB00025,"Antihemophilic factor, human recombinant",BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125671|BLA125671|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA125574|BLA125574|BLA125574|BLA125574|BLA125574|BLA125466|BLA125466|BLA125466|BLA125466|BLA125466|BLA125466|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375,B02BD02
DB00026,Anakinra,BLA103950,L04AC03
DB00027,Gramicidin D,ANDA064047|ANDA064047|ANDA064047|ANDA064047|ANDA064047|ANDA065187|ANDA064047|ANDA064047|ANDA060582|ANDA060582,R02AB30
DB00028,Human immunoglobulin G,BLA125743|BLA125590|BLA125389|BLA125389|BLA125389|BLA125389|BLA125389|BLA102367|BLA102367|BLA102367|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125596|BLA125077|BLA125077|BLA125077|BLA101134|BLA101134|BLA125105|BLA125105|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA125046|BLA125329|BLA125329|BLA125046|BLA125046|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|part356|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125201|BLA125201|BLA125201|BLA125201|BLA125822|BLA125115|BLA103649|BLA103649|BLA103649|BLA103649|BLA103649|BLA125683|BLA125810,
DB00029,Anistreplase,,B01AD03
DB00030,Insulin human,NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|NDA019717|NDA020100|NDA019717|BLA019717|NDA019717|BLA019717|NDA019377|NDA018781|NDA018781|BLA018781|BLA018781|NDA018780|BLA018780|BLA018780|BLA018780|BLA018780|BLA018780|NDA019571|BLA208157|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|BLA019991|BLA019991|BLA019991|NDA019959|NDA019959|NDA019959|NDA019959|NDA019959|BLA019959|BLA019959|BLA019959|BLA019959|NDA019938|NDA019938|NDA019938|NDA019938|NDA019938|BLA019938|BLA019938|BLA019938|BLA019938|NDA019991|NDA019959,A10AC01|A10AE01|A10AB01|A10AD01|A10AF01
DB00031,Tenecteplase,BLA103909|BLA103909|BLA103909|BLA103909,B01AD11
DB00032,Menotropins,,G03GA02|G03GA03
DB00033,Interferon gamma-1b,BLA103836|BLA103836|BLA103836,
DB00034,Interferon alfa-2a,BLA103145|BLA103145|BLA103145,L03AB04
DB00035,Desmopressin,NDA018938|NDA019955|NDA019955|NDA018938|NDA018938|NDA017922|NDA017922|NDA017922|NDA018938|NDA019955|NDA019955|NDA017922|ANDA077122|ANDA074830|ANDA076470|ANDA076470|ANDA077122|ANDA076470|ANDA076470|ANDA076470|ANDA076470|ANDA077414|ANDA077414|ANDA077122|ANDA077122|ANDA076470|ANDA076470|ANDA077122|ANDA077122|ANDA204751|ANDA204695|NDA021795|NDA021795|ANDA077212|ANDA076470|ANDA076470|ANDA201831|ANDA201831|ANDA078271|ANDA076470|ANDA076470|ANDA074888|ANDA074888|ANDA077122|ANDA077122|ANDA076470|ANDA076470|ANDA201831|ANDA201831|NDA019955|NDA019955|NDA017922|ANDA075220|ANDA076470|ANDA076470|ANDA210371|ANDA210371|ANDA201831|ANDA201831|ANDA091345|ANDA091345|ANDA091280|ANDA210218|ANDA077414|ANDA077414|NDA018938|NDA018938|ANDA207880|ANDA207880|ANDA210218|ANDA074830|NDA017922|NDA021333|NDA018938|NDA018938|ANDA076470|ANDA076703|ANDA091280|ANDA210223|ANDA210223|ANDA210223|ANDA091374|ANDA201831|ANDA077414|ANDA077414|ANDA207880|ANDA215961|ANDA216922|ANDA216904|ANDA210371|ANDA216922|ANDA077414|ANDA077414|ANDA077414|ANDA077414|ANDA216904|ANDA216922|ANDA216904|ANDA077414|ANDA076703|ANDA210223|NDA019955|ANDA077414|ANDA210223|ANDA210223|ANDA213095|ANDA213095|ANDA074888|ANDA074888|ANDA074830|NDA022517|NDA022517|NDA022517|NDA022517|NDA201656|NDA201656|NDA020355|NDA020355,H01BA02
DB00036,Coagulation factor VIIa Recombinant Human,BLA103665|BLA103665|BLA103665|BLA103665|BLA103665|BLA103665|BLA103665|BLA103665|BLA125641|BLA125641|BLA125641,B02BD08
DB00038,Oprelvekin,BLA103694,L03AC02
DB00039,Palifermin,BLA125103|BLA125103|BLA125103,V03AF08
DB00040,Glucagon,NDA210134|NDA210134|NDA210134|NDA020298|NDA020918|NDA020918|NDA020918|NDA020918|NDA020928|NDA020928|NDA020928|NDA201849|NDA201849|NDA201849|NDA020928|NDA201849|NDA201849|ANDA208086|ANDA208086|ANDA204468|ANDA214457|ANDA204468|ANDA218813|NDA212097|NDA212097|NDA212097|NDA212097|NDA212097|NDA212097|NDA212097,H04AA01
DB00041,Aldesleukin,BLA103293|BLA103293|BLA103293|BLA103293|BLA103293,L03AC01
DB00042,Botulinum toxin type B,BLA103846|BLA103846|BLA103846,M03AX01
DB00043,Omalizumab,BLA103976|BLA103976|BLA103976|BLA103976,R03DX05
DB00044,Lutropin alfa,NDA021322,G03GA07
DB00045,Lyme disease vaccine (recombinant OspA),,
DB00046,Insulin lispro,NDA209196|BLA209196|BLA209196|BLA209196|BLA209196|NDA020563|NDA020563|BLA020563|NDA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|NDA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA205747|BLA020563|BLA021018|BLA021018|NDA021017|BLA021017|BLA021017|NDA020563|BLA020563|BLA205747|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA020563|BLA021017|BLA761109|BLA761109|BLA761109|BLA761109|BLA761109|BLA761109|BLA761109,A10AC04|A10AB04|A10AD04
DB00047,Insulin glargine,NDA205692|BLA205692|BLA205692|BLA761201|BLA761201|BLA021081|BLA021081|BLA021081|BLA761201|BLA761201|BLA761201|BLA761201|BLA021081|BLA021081|BLA021081|BLA206538|BLA206538|NDA021081|NDA021081|NDA021081|NDA021081|NDA021081|NDA021081|BLA021081|NDA021081|BLA021081|BLA021081|BLA021081|BLA021081|BLA021081|BLA021081|BLA021081|BLA761215|BLA761215|BLA210605|BLA210605|BLA761201|BLA761201|BLA210605|BLA761201|BLA761201|BLA208673|BLA206538|BLA206538|BLA206538|BLA206538,A10AE54|A10AE04
DB00048,Collagenase clostridium histolyticum,BLA101995|BLA101995|BLA761146|BLA125338,D03BA02|M09AB02|D03BA52
DB00049,Rasburicase,BLA103946|BLA103946,V03AF07|M04AX01
DB00050,Cetrorelix,ANDA215737|ANDA215737|ANDA217776|ANDA217776|ANDA214540|ANDA218150|ANDA218150|NDA021197,H01CC02
DB00051,Adalimumab,BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761118|BLA761071|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA761071|BLA761071|BLA761071|BLA761219|BLA761219|BLA761219|BLA761255|BLA761255|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761299|BLA761299|BLA761299|BLA761299|BLA761299|BLA761299|BLA761299|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761024|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761058|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761059|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA761154|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA125057|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761071|BLA761255|BLA761255|BLA761255|BLA761299|BLA761299|BLA761299|BLA761299|BLA761299|BLA761299|BLA761219|BLA761219|BLA761219|BLA761219|BLA761219|BLA761219|BLA761219|BLA761219|BLA761219|BLA761216|BLA761216|BLA761216|BLA761216,L04AB04
DB00052,Somatotropin,NDA020280|NDA020280|NDA020280|NDA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA020280|BLA019640|BLA019640|BLA019640|BLA019640|NDA021148|BLA021148|BLA021148|BLA021148|BLA021148|NDA019676|NDA019676|BLA020522|BLA020522|BLA020522|NDA020522|NDA020522|NDA021075|NDA021075|NDA021075|BLA021426|BLA021426|BLA021426|BLA019764|BLA019764|NDA019764|BLA019764|NDA020604|BLA020604|BLA020604|BLA020604|NDA019774|NDA019774|NDA019774|BLA019774|BLA019774|BLA019774|BLA021597,H01AC01
DB00053,Imiglucerase,BLA020367|BLA020367,A16AB02
DB00054,Abciximab,BLA103575|BLA103575,B01AC13
DB00055,Drotrecogin alfa,BLA125029|BLA125029,B01AD10
DB00056,Gemtuzumab ozogamicin,BLA761060,L01FX02
DB00057,Indium In-111 satumomab pendetide,,V09IB02
DB00058,Alpha-1-proteinase inhibitor,BLA125039|BLA125039|BLA125039|BLA125039|BLA125039|BLA125325|BLA103174|BLA103174|BLA103174|BLA103174|BLA103174|BLA125078|BLA125078|BLA125078|BLA125078|BLA125078|BLA125078,B02AB02
DB00059,Pegaspargase,BLA103411|BLA103411|BLA103411,L01XX24
DB00060,Interferon beta-1a,BLA103628|BLA103628|BLA103628|BLA103628|BLA103628|BLA103628|BLA103780|BLA103780|BLA103780|BLA103780|BLA103780|BLA103780|BLA103780|BLA103780,L03AB07
DB00061,Pegademase,NDA019818,L03AX04
DB00062,Albumin human,BLA101138|BLA101138|BLA101138|BLA101138|BLA101138|BLA101138|BLA101138|BLA125154|BLA125154|BLA125154|BLA125154|BLA125154|BLA125154|BLA103955|BLA103955|BLA103955|BLA125644|BLA125644|BLA102366|BLA102366|BLA102478|BLA102478|BLA102478|BLA102478|BLA102478|BLA102478|NDA218711|NDA218711|NDA218711|BLA101452|BLA101452|BLA101452|BLA101452|BLA103352|BLA103352|BLA125384|NDA017833|BLA101138|BLA101138|BLA101138|BLA101138|BLA101138|BLA101138|BLA101140|BLA102223,B05AA01
DB00063,Eptifibatide,ANDA206127|ANDA206127|ANDA206127|ANDA206127|ANDA206127|ANDA206127|ANDA205557|ANDA205557|ANDA204693|ANDA204693|ANDA091555|ANDA203258|ANDA203258|ANDA203258|ANDA090854|ANDA208554|ANDA208554|ANDA209864|ANDA209864|ANDA209864|ANDA209864|ANDA205581|ANDA205581|ANDA204362|ANDA204362|ANDA204362|ANDA204589|ANDA204589|ANDA207864|ANDA207864|ANDA207864|ANDA203258|ANDA203258|ANDA203258|ANDA209864|ANDA209864|ANDA213081|ANDA213081|ANDA213081|ANDA213081|ANDA213081|ANDA213081|ANDA213599|ANDA213599|NDA020718|NDA020718,B01AC16
DB00065,Infliximab,BLA761086|BLA125544|BLA103772|BLA103772|BLA761054|BLA761054|BLA761358|BLA761358,L04AB02
DB00066,Follitropin,NDA021289|NDA020582|BLA021211|BLA021211|BLA021211|BLA021273|BLA021273|BLA021211|BLA021211|BLA021211|BLA020378|BLA020378|BLA021765|BLA021765|NDA021684|NDA021684|NDA021684|BLA021684|BLA021684|BLA021684|BLA021684|BLA021663|NDA021047,G03GA06|G03GA10|G03GA05
DB00067,Vasopressin,NDA212593|NDA204485|ANDA211538|NDA204485|NDA204485|ANDA212944|NDA204485|ANDA214314|ANDA211857|ANDA214314|ANDA213206|ANDA213206|NDA212593|ANDA214314|ANDA216963|ANDA213988|ANDA216963|ANDA213988|ANDA214314|ANDA216963|NDA212593|NDA217569|NDA217569|NDA217766|NDA217766|NDA217766|NDA204485|NDA204485|NDA204485|NDA204485|NDA204485|NDA204485|NDA204485|NDA204485,
DB00068,Interferon beta-1b,BLA103471|BLA103471|BLA125290,L03AB08
DB00069,Interferon alfacon-1,BLA103663|BLA103663|BLA103663,L03AB09
DB00070,Hyaluronidase (ovine),NDA021640|BLA021640|NDA021640,
DB00071,Insulin pork,,A10AC03|A10AB03|A10AE03|A10AD03
DB00072,Trastuzumab,BLA103792|BLA103792|BLA103792|BLA761106|BLA761346|BLA761346|BLA761091|BLA761091|BLA761073|BLA761073|BLA761073|BLA761074|BLA761074|BLA761074|BLA761074|BLA761074|BLA761074|BLA761100|BLA761100|BLA761100|BLA761100|BLA761170|BLA761170|BLA761081|BLA761081,L01FD01|L01FY01
DB00073,Rituximab,BLA761140|BLA761140|BLA103705|BLA103705|BLA761064|BLA761064|BLA761103|BLA761103|BLA761088|BLA761088,L01FA01
DB00074,Basiliximab,BLA103764|BLA103764,L04AC02
DB00075,Muromonab,BLA103463,L04AG01
DB00076,Digoxin Immune Fab (Ovine),BLA103141|BLA103910|BLA103910,V03AB24
DB00078,Ibritumomab tiuxetan,BLA125019|BLA125019|BLA125019,V10XX02
DB00080,Daptomycin,NDA021572|NDA021572|NDA209949|ANDA208375|NDA209949|ANDA211961|ANDA208375|ANDA208375|ANDA206005|ANDA212022|NDA209949|NDA209949|ANDA206005|ANDA207104|ANDA212513|ANDA212022|ANDA206077|ANDA206005|NDA208385|ANDA212667|ANDA212513|ANDA205037|ANDA202857|ANDA212513|ANDA212513|ANDA206005|ANDA213425|ANDA212667|ANDA212513|ANDA213425|ANDA213786|ANDA213623|NDA210282|ANDA215316|ANDA213171|ANDA211403|ANDA215316|NDA210282|ANDA215890|ANDA216413|ANDA216445|ANDA216413|ANDA216445|ANDA216413|NDA217415|NDA217415|ANDA215890|ANDA215890|ANDA213966|NDA209949|ANDA217215|ANDA212250|ANDA212022|NDA217630|NDA217630|NDA217630|ANDA206005|ANDA206005|NDA217415|NDA213645|NDA213645|NDA213645|NDA213645|NDA213645|NDA213645,J01XX09
DB00081,Tositumomab,BLA125011|BLA125011,V10XA53
DB00082,Pegvisomant,BLA021106|BLA021106|BLA021106|BLA021106|BLA021106|BLA021106|BLA021106|BLA021106|BLA021106|BLA021106,H01AX01
DB00083,Botulinum toxin type A,BLA103000|BLA103000|BLA103000|BLA103000|BLA761127|BLA125274|BLA125360|BLA125360|BLA125360,M03AX01
DB00085,Pancrelipase,,A09AA02
DB00086,Streptokinase,,B01AD01|B06AA55
DB00087,Alemtuzumab,BLA103948|BLA103948|BLA103948,L04AG06
DB00088,Alglucerase,NDA020057,A16AB01
DB00089,Capromab pendetide,BLA103608,V09IB04
DB00090,Laronidase,BLA125058,A16AB05
DB00091,Cyclosporine,NDA210913|NDA210913|ANDA065040|ANDA065110|ANDA065004|ANDA065167|ANDA065040|ANDA065133|ANDA065110|ANDA065040|ANDA065040|ANDA065044|ANDA065044|ANDA065017|ANDA065017|ANDA065151|ANDA065078|ANDA065040|ANDA065040|ANDA065044|ANDA065044|ANDA065054|ANDA065151|ANDA205894|NDA050790|NDA050790|NDA050790|NDA050790|ANDA216046|ANDA216046|ANDA216046|ANDA216046|ANDA216046|ANDA216046|ANDA065044|ANDA065044|ANDA209811|NDA050790|ANDA203880|ANDA211909|ANDA211943|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA065110|ANDA210721|ANDA210721|ANDA210721|ANDA065003|ANDA065003|ANDA065003|ANDA065003|ANDA065003|ANDA065025|ANDA065003|ANDA065003|NDA050715|NDA050715|NDA050715|NDA050716|NDA050790|NDA050790|NDA050790|NDA050790|NDA050790|NDA050625|NDA050625|NDA050573|NDA050574|NDA214965|NDA217469|NDA217469,L04AD01|S01XA18
DB00092,Alefacept,BLA125036,L04AA15
DB00093,Felypressin,,
DB00094,Urofollitropin,,G03GA04
DB00095,Efalizumab,,L04AG02
DB00097,Choriogonadotropin alfa,NDA017067|NDA017067|BLA017067|BLA017067|BLA021149|NDA017692|BLA017692|BLA017692|BLA017692|BLA017692,G03GA08
DB00098,Antithymocyte immunoglobulin (rabbit),BLA103869,L04AA04
DB00099,Filgrastim,BLA125294|BLA125294|BLA125294|BLA125294|BLA103353|BLA103353|BLA103353|BLA103353|BLA103353|BLA103353|BLA103353|BLA761080|BLA761080|BLA761080|BLA761080|BLA761126|BLA761126|BLA761082|BLA761082|BLA761082|BLA761082|BLA125553|BLA125553|BLA125553|BLA125553|BLA125553|BLA125553,L03AA02
DB00100,Coagulation Factor IX (Recombinant),BLA103677|BLA103677|BLA103677|BLA103677|BLA103677|BLA103677|BLA103677|BLA103677|BLA103677|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125426|BLA125611|BLA125611|BLA125611|BLA125611|BLA125446|BLA125446|BLA125446|BLA125446|BLA125446,
DB00102,Becaplermin,BLA103691|BLA103691|BLA103691|BLA103691,D03AX06|A01AD08
DB00103,Agalsidase beta,BLA103979|BLA103979,A16AB04
DB00104,Octreotide,NDA213224|NDA208232|NDA208232|ANDA077450|ANDA077450|ANDA077457|ANDA077457|ANDA077457|ANDA090985|ANDA090985|ANDA090985|ANDA090986|ANDA090986|ANDA090985|ANDA090985|ANDA090985|ANDA090986|ANDA090986|NDA019667|NDA019667|ANDA076313|ANDA076313|ANDA076313|ANDA076330|ANDA076330|ANDA076313|ANDA076313|ANDA076330|ANDA077372|ANDA077372|ANDA077372|ANDA077372|ANDA077372|ANDA077372|ANDA077373|ANDA077373|ANDA076313|ANDA076313|ANDA076313|ANDA076330|ANDA076330|ANDA203765|ANDA203765|ANDA204669|ANDA204669|ANDA204669|ANDA090834|ANDA090834|ANDA090834|ANDA091041|ANDA091041|ANDA203765|ANDA203765|ANDA075957|ANDA075957|ANDA075957|ANDA075959|ANDA075959|ANDA079198|ANDA079198|ANDA079198|NDA019667|NDA019667|NDA019667|NDA019667|NDA019667|ANDA204669|ANDA204669|ANDA204669|ANDA075957|ANDA090834|ANDA090834|ANDA090834|ANDA091041|ANDA091041|ANDA216807|ANDA216807|ANDA216839|ANDA216839|ANDA216839|ANDA216839|ANDA210317|ANDA210317|ANDA217860|ANDA075957|ANDA075957|ANDA075957|ANDA210317|NDA019667|NDA019667|NDA019667|NDA019667|NDA019667|NDA021088|NDA021088|NDA021088|NDA021008|NDA021008|NDA021008|NDA021008|NDA021008|NDA021008|NDA021088,H01CB02
DB00105,Interferon alfa-2b,BLA103132|BLA103132|BLA103132|BLA103132|BLA103132|BLA103132|BLA103132|BLA103132,L03AB05
DB00106,Abarelix,,L02BX01
DB00107,Oxytocin,ANDA077453|ANDA077453|ANDA200219|ANDA200219|NDA018243|NDA018261|NDA018261|ANDA091676|ANDA200219|ANDA200219|NDA018248|NDA018243|NDA018243|NDA018248|NDA018248|NDA018248|NDA018248|NDA018248|NDA018261|NDA018261|NDA018261|NDA018261|NDA018245,G02AC01|H01BB02
DB00108,Natalizumab,BLA761322|BLA125104|BLA125104,L04AG03
DB00109,Enfuvirtide,NDA021481,J05AX07
DB00110,Palivizumab,BLA103770|BLA103770|BLA103770|BLA103770,J06BD01
DB00111,Daclizumab,BLA103749|BLA761029|BLA761029,L04AC01
DB00112,Bevacizumab,BLA761231|BLA761231|BLA125085|BLA125085|BLA761198|BLA761198|BLA761175|BLA761175|BLA761028|BLA761028|BLA761268|BLA761268|BLA761099|BLA761099,L01FG01|S01LA08
DB00113,Technetium Tc-99m arcitumomab,,V09IA06
DB00114,Pyridoxal phosphate,ANDA078604,A11HA06
DB00115,Cyanocobalamin,NDA021559|NDA021163|NDA021163|NDA021559|ANDA080737|ANDA080557|ANDA080557|ANDA080737|NDA022102|ANDA080737|ANDA080737|ANDA206503|ANDA080737|ANDA080737|ANDA080557|ANDA080515|ANDA080515|ANDA080515|ANDA080557|ANDA080737|ANDA080737|ANDA080737|ANDA209255|ANDA209255|ANDA206503|ANDA206503|ANDA204829|ANDA206503|ANDA204829|ANDA080515|ANDA209255|ANDA209255|ANDA209255|ANDA080515|ANDA080737|ANDA209429|ANDA080737|ANDA080737|ANDA214390|ANDA209255|ANDA213874|ANDA080557|ANDA213874|ANDA204829|ANDA214655|ANDA214655|ANDA214655|ANDA214655|ANDA214655|ANDA214655|ANDA214390|ANDA080737|ANDA214655|ANDA214655|ANDA214655|ANDA215417|ANDA214390|ANDA214390|ANDA209255|ANDA215107|ANDA215417|ANDA212458|ANDA210629|ANDA080737|ANDA217839|ANDA217839|ANDA217839|ANDA214316|ANDA214316|ANDA214316|ANDA217839|ANDA209429|ANDA209255|ANDA206503|ANDA204829|ANDA204829|ANDA204829|ANDA083022|ANDA083022|NDA021163|NDA021163|NDA021265|NDA021265|NDA021625|NDA021625|NDA018920|NDA008809|NDA021642|ANDA090973|NDA021646|NDA021265|NDA021646|NDA021265|NDA006799|ANDA080515|ANDA080515,B03BA01|B03BA51
DB00116,Tetrahydrofolic acid,,
