,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
417649,DB03910,,"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",target,NOS3,,1.0
417650,DB03911,,L-Xylopyranose,target,xylA,,1.0
417651,DB03912,,D-pantetheine 4'-phosphate,target,coaD,,1.0
417654,DB03915,,2-Amino-3-Ketobutyric Acid,target,kbl,,1.0
417655,DB03916,,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,target,zipA,,1.0
417657,DB03918,,"6S-5,6,7,8-Tetrahydrobiopterin",target,NOS3,inhibitor,1.0
417658,DB03919,,Ethyl-Carbamic Acid Methyl Ester,target,stxB,,1.0
417659,DB03921,,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,target,TGFBR1,inhibitor,1.0
417660,DB03923,,Feruloyl Coenzyme A,target,COMTD1,,1.0
417661,DB03924,,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",target,CSNK2A1,,1.0
417662,DB03925,,Freselestat,target,CELA1,,1.0
417663,DB03925,,Freselestat,target,ELANE,inhibitor,1.0
417664,DB03927,,Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine,target,,,1.0
417665,DB03928,,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",target,CTH,,1.0
417666,DB03929,,D-Serine,target,GRIN1,inhibitor,1.0
417667,DB03929,,D-Serine,target,GLRA1,inhibitor,1.0
417668,DB03929,,D-Serine,target,SERPINB3,,1.0
417669,DB03929,,D-Serine,target,shp,,1.0
417670,DB03931,,Diguanosine-5'-Triphosphate,target,,,1.0
417671,DB03932,,LFA703,target,ITGAL,inhibitor,1.0
417672,DB03933,,C-1027 Aromatized chromophore,target,cagA,,1.0
417673,DB03934,,Zinc protoporphyrin,target,CYCS,,1.0
417674,DB03935,,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",target,FGF2,,1.0
417675,DB03935,,"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",target,ANXA5,,1.0
