flat,drug_name,side_effect_se,freq_mean_y
CID100000085,carnitine,Abdominal pain,0.11599999999999999
CID100000085,carnitine,Gastrointestinal pain,0.11600000000000002
CID100000085,carnitine,Amblyopia,0.03666666666666667
CID100000085,carnitine,Anaemia,0.057999999999999996
CID100000085,carnitine,Decreased appetite,0.042499999999999996
CID100000085,carnitine,Anxiety,0.02666666666666667
CID100000085,carnitine,Arrhythmia,0.03333333333333333
CID100000085,carnitine,Asthenia,0.0925
CID100000085,carnitine,Atrial fibrillation,0.04
CID100000085,carnitine,Back pain,0.0825
CID100000085,carnitine,Bronchitis,0.04
CID100000085,carnitine,Cardiovascular disorder,0.05
CID100000085,carnitine,Chest pain,0.1175
CID100000085,carnitine,Infection,0.165
CID100000085,carnitine,Constipation,0.045
CID100000085,carnitine,Cough,0.1325
CID100000085,carnitine,Depression,0.04666666666666667
CID100000085,carnitine,Diarrhoea,0.178
CID100000085,carnitine,Dizziness,0.134
CID100000085,carnitine,Dysgeusia,0.04666666666666667
CID100000085,carnitine,Dyspepsia,0.075
CID100000085,carnitine,Dyspnoea,0.1
CID100000085,carnitine,Rash,0.03666666666666667
CID100000085,carnitine,Dermatitis,0.03666666666666667
CID100000085,carnitine,Eye disorder,0.04
CID100000085,carnitine,Body temperature increased,0.06999999999999999
CID100000085,carnitine,Gastrointestinal disorder,0.0325
CID100000085,carnitine,Headache,0.18
CID100000085,carnitine,Haemorrhage,0.048
CID100000085,carnitine,Haemoglobin,0.048
CID100000085,carnitine,Hypercalcaemia,0.08199999999999999
CID100000085,carnitine,Hyperkalaemia,0.06
CID100000085,carnitine,Hypersensitivity,0.043333333333333335
CID100000085,carnitine,Hypertension,0.1825
CID100000085,carnitine,Hypotension,0.13999999999999999
CID100000085,carnitine,Influenza,0.272
CID100000085,carnitine,Muscle spasms,0.08333333333333333
CID100000085,carnitine,Melaena,0.03666666666666667
CID100000085,carnitine,Hypertonia,0.03
CID100000085,carnitine,Nausea,0.088
CID100000085,carnitine,Pain,0.33399999999999996
CID100000085,carnitine,Palpitations,0.05333333333333334
CID100000085,carnitine,Parathyroid disorder,0.035
CID100000085,carnitine,Paraesthesia,0.057499999999999996
CID100000085,carnitine,Pharyngitis,0.244
CID100000085,carnitine,Pruritus,0.07250000000000001
CID100000085,carnitine,Renal failure,0.055
CID100000085,carnitine,Rhinitis,0.09
CID100000085,carnitine,Sinusitis,0.03333333333333333
CID100000085,carnitine,Tachycardia,0.0625
CID100000085,carnitine,Urinary tract infection,0.03666666666666667
CID100000085,carnitine,Angiopathy,0.03333333333333333
CID100000085,carnitine,Vertigo,0.04
CID100000085,carnitine,Vomiting,0.154
CID100000085,carnitine,Weight increased,0.0325
CID100000085,carnitine,Weight decreased,0.0475
CID100000085,carnitine,Oedema peripheral,0.042499999999999996
CID100000085,carnitine,Injection site reaction,0.3925
CID100000085,carnitine,Injury,0.1
CID100000085,carnitine,Impaired gastric emptying,0.05
CID100000085,carnitine,Gastric atony,0.05
CID100000085,carnitine,Myalgia,0.06
CID100000085,carnitine,Musculoskeletal discomfort,0.06
CID100000085,carnitine,Electrocardiogram abnormal,0.03666666666666667
CID100000085,carnitine,Fluid overload,0.0925
CID100000085,carnitine,Insomnia,0.0475
CID100000085,carnitine,Drug dependence,0.03333333333333333
CID100000137,5-aminolevulinic,Oedema,0.005
CID100000137,5-aminolevulinic,Excoriation,0.005
CID100000137,5-aminolevulinic,Haemorrhage,0.02
CID100000137,5-aminolevulinic,Haemoglobin,0.02
CID100000137,5-aminolevulinic,Pain,0.005
CID100000137,5-aminolevulinic,Pruritus,0.11
CID100000137,5-aminolevulinic,Skin disorder,0.056666666666666664
CID100000137,5-aminolevulinic,Ulcer,0.02
CID100000137,5-aminolevulinic,Rash pustular,0.02
CID100000137,5-aminolevulinic,Gamma-glutamyltransferase increased,0.505
CID100000137,5-aminolevulinic,Aspartate aminotransferase increased,0.505
CID100000137,5-aminolevulinic,Alanine aminotransferase increased,0.505
CID100000137,5-aminolevulinic,Skin hyperpigmentation,0.2775
CID100000137,5-aminolevulinic,Scab,0.2414285714285714
CID100000137,5-aminolevulinic,Urticaria,0.025
CID100000137,5-aminolevulinic,Tenderness,0.01
CID100000137,5-aminolevulinic,Blood bilirubin increased,0.505
CID100000137,5-aminolevulinic,Dysaesthesia,0.01
CID100000137,5-aminolevulinic,Amylase increased,0.505
CID100000143,leucovorin,Alopecia,0.23333333333333334
CID100000143,leucovorin,Decreased appetite,0.10250000000000001
CID100000143,leucovorin,Infection,0.042
CID100000143,leucovorin,Constipation,0.02
CID100000143,leucovorin,Dermatitis,0.11811904761904762
CID100000143,leucovorin,Diarrhoea,0.365
CID100000143,leucovorin,Rash,0.0005
CID100000143,leucovorin,Fatigue,0.07200000000000001
CID100000143,leucovorin,Asthenia,0.072
CID100000143,leucovorin,Hypersensitivity,0.0005
CID100000143,leucovorin,Lethargy,0.072
CID100000143,leucovorin,Leukopenia,0.55
CID100000143,leucovorin,Nausea,0.3823076923076923
CID100000143,leucovorin,Pruritus,0.0005
CID100000143,leucovorin,Convulsion,0.005
CID100000143,leucovorin,Stomatitis,0.47538461538461535
CID100000143,leucovorin,Thrombocytopenia,0.064
CID100000143,leucovorin,Vomiting,0.2661538461538462
CID100000143,leucovorin,Malaise,0.07200000000000001
CID100000143,leucovorin,Discomfort,0.07200000000000001
CID100000143,leucovorin,Feeling abnormal,0.072
CID100000143,leucovorin,Ill-defined disorder,0.07200000000000001
CID100000143,leucovorin,Sensitisation,0.005
CID100000143,leucovorin,Dyspnoea,0.0005
CID100000143,leucovorin,Chills,0.0005
CID100000158,PGE2,Disseminated intravascular coagulation,0.0005
CID100000158,PGE2,Anaphylactoid syndrome of pregnancy,0.0005
CID100000158,PGE2,Foetal distress syndrome,0.03246557692307692
CID100000158,PGE2,Foetal heart rate,0.09458454999999999
CID100000158,PGE2,Hypersensitivity,0.0005
CID100000158,PGE2,Hypotension,0.0005
CID100000158,PGE2,Immune system disorder,0.0005
CID100000158,PGE2,Pregnancy,0.0005
CID100000158,PGE2,Uterine rupture,0.0005
CID100000158,PGE2,Angiopathy,0.0005
CID100000158,PGE2,Failed induction of labour,0.01724425
CID100000158,PGE2,Uterine hypertonus,0.020777777777777777
CID100000158,PGE2,Death neonatal,0.0005
CID100000159,prostacyclin,Gastrointestinal pain,0.05
CID100000159,prostacyclin,Abdominal pain,0.05
CID100000159,prostacyclin,Anaemia,0.0005
CID100000159,prostacyclin,Decreased appetite,0.565
CID100000159,prostacyclin,Anxiety,0.13666666666666666
CID100000159,prostacyclin,Arthralgia,0.745
CID100000159,prostacyclin,Musculoskeletal discomfort,0.56
CID100000159,prostacyclin,Back pain,0.02
CID100000159,prostacyclin,Neck pain,0.745
CID100000159,prostacyclin,Chest pain,0.11
CID100000159,prostacyclin,Diarrhoea,0.245
CID100000159,prostacyclin,Dizziness,0.5366666666666666
CID100000159,prostacyclin,Dyspepsia,0.01
CID100000159,prostacyclin,Dyspnoea,0.02
CID100000159,prostacyclin,Eczema,0.145
CID100000159,prostacyclin,Rash,0.145
CID100000159,prostacyclin,Dermatitis,0.145
CID100000159,prostacyclin,Body temperature increased,0.18
CID100000159,prostacyclin,Flushing,0.25
CID100000159,prostacyclin,Headache,0.43200000000000005
CID100000159,prostacyclin,Hyperaesthesia,0.06999999999999999
CID100000159,prostacyclin,Hypersplenism,0.0005
CID100000159,prostacyclin,Hyperthyroidism,0.0005
CID100000159,prostacyclin,Hypoaesthesia,0.049999999999999996
CID100000159,prostacyclin,Hypotension,0.09666666666666668
CID100000159,prostacyclin,Musculoskeletal pain,0.17666666666666667
CID100000159,prostacyclin,Nausea,0.40800000000000003
CID100000159,prostacyclin,Nervousness,0.13666666666666666
CID100000159,prostacyclin,Tension,0.13666666666666666
CID100000159,prostacyclin,Pain,0.745
CID100000159,prostacyclin,Pancytopenia,0.0005
CID100000159,prostacyclin,Paraesthesia,0.049999999999999996
CID100000159,prostacyclin,Sepsis,0.18
CID100000159,prostacyclin,Skin ulcer,0.315
CID100000159,prostacyclin,Splenomegaly,0.0005
CID100000159,prostacyclin,Hyperhidrosis,0.01
CID100000159,prostacyclin,Tachycardia,0.19999999999999998
CID100000159,prostacyclin,Tremor,0.15
CID100000159,prostacyclin,Urticaria,0.145
CID100000159,prostacyclin,Vomiting,0.40800000000000003
CID100000159,prostacyclin,Chills,0.18
CID100000159,prostacyclin,Agitation,0.11
CID100000159,prostacyclin,Myalgia,0.375
CID100000159,prostacyclin,Pain in jaw,0.43
CID100000159,prostacyclin,Influenza like illness,0.18
CID100000159,prostacyclin,Bradycardia,0.05
CID100000160,prostaglandin,Back pain,0.0152715
CID100000160,prostaglandin,Foetal distress syndrome,0.020777777777777777
CID100000160,prostaglandin,Body temperature increased,0.01269055
CID100000160,prostaglandin,Foetal heart rate,0.1574505
CID100000160,prostaglandin,Uterine hypertonus,0.020777777777777777
CID100000160,prostaglandin,Bradycardia,0.0357103
CID100000191,adenosine,Anaphylactic shock,0.0005
CID100000191,adenosine,Angioedema,0.0005
CID100000191,adenosine,Apnoea,0.0005
CID100000191,adenosine,Arrhythmia,0.01
CID100000191,adenosine,Atrial fibrillation,0.0005
CID100000191,adenosine,Bronchospasm,0.0005
CID100000191,adenosine,Chest pain,0.13366666666666668
CID100000191,adenosine,Dizziness,0.0761
CID100000191,adenosine,Dyspnoea,0.2
CID100000191,adenosine,Rash,0.0005
CID100000191,adenosine,Dermatitis,0.0005
CID100000191,adenosine,Flushing,0.31
CID100000191,adenosine,Headache,0.09999999999999999
CID100000191,adenosine,Cardiac arrest,0.0005
CID100000191,adenosine,Cardiac disorder,0.0005
CID100000191,adenosine,Cardiac failure,0.0005
CID100000191,adenosine,Hypertension,0.0005
CID100000191,adenosine,Hyperventilation,0.0005
CID100000191,adenosine,Hypotension,0.01025
CID100000191,adenosine,Mediastinal disorder,0.0005
CID100000191,adenosine,Myocardial infarction,0.0005
CID100000191,adenosine,Acute coronary syndrome,0.0005
CID100000191,adenosine,Nausea,0.01525
CID100000191,adenosine,Nervousness,0.02
CID100000191,adenosine,Tension,0.02
CID100000191,adenosine,Sensory loss,0.00525
CID100000191,adenosine,Hypoaesthesia,0.00525
CID100000191,adenosine,Palpitations,0.0005
CID100000191,adenosine,Paraesthesia,0.0135
CID100000191,adenosine,Convulsion,0.0005
CID100000191,adenosine,Sinoatrial block,0.0005
CID100000191,adenosine,Device capturing issue,0.0005
CID100000191,adenosine,Cerebrovascular accident,0.0005
CID100000191,adenosine,Hyperhidrosis,0.0005
CID100000191,adenosine,Loss of consciousness,0.0005
CID100000191,adenosine,Shock,0.0005
CID100000191,adenosine,Syncope,0.0005
CID100000191,adenosine,Tachycardia,0.0005
CID100000191,adenosine,Sinus tachycardia,0.0005
CID100000191,adenosine,Torsade de pointes,0.0005
CID100000191,adenosine,Urticaria,0.0005
CID100000191,adenosine,Ventricular fibrillation,0.0005
CID100000191,adenosine,Ventricular tachycardia,0.0005
CID100000191,adenosine,Vomiting,0.0005
CID100000191,adenosine,Ventricular arrhythmia,0.0005
CID100000191,adenosine,Atrioventricular block first degree,0.03
CID100000191,adenosine,Atrioventricular block complete,0.0005
CID100000191,adenosine,Haemorrhage intracranial,0.0005
CID100000191,adenosine,Injection site reaction,0.0005
CID100000191,adenosine,Myocardial ischaemia,0.0005
CID100000191,adenosine,Respiratory arrest,0.0005
CID100000191,adenosine,Abdominal discomfort,0.13
CID100000191,adenosine,Discomfort,0.07525
CID100000191,adenosine,Chest discomfort,0.29000000000000004
CID100000191,adenosine,Throat tightness,0.0005
CID100000191,adenosine,Atrioventricular block second degree,0.03
CID100000191,adenosine,Bradycardia,0.0005
CID100000191,adenosine,Blood pressure increased,0.0005
CID100000191,adenosine,Electrocardiogram ST segment elevation,0.0005
CID100000191,adenosine,Electrocardiogram ST segment depression,0.03
CID100000191,adenosine,Sinus arrest,0.0005
CID100000191,adenosine,Limb discomfort,0.04
CID100000191,adenosine,Respiratory failure,0.0005
CID100000191,adenosine,Coronary artery disease,0.0005
CID100000214,PGE1,Back pain,0.08386539999999999
CID100000214,PGE1,Bronchitis,0.095
CID100000214,PGE1,Infection,0.023708925
CID100000214,PGE1,Cough,0.10999999999999999
CID100000214,PGE1,Diarrhoea,0.057499999999999996
CID100000214,PGE1,Disseminated intravascular coagulation,0.011
CID100000214,PGE1,Dizziness,0.11499999999999999
CID100000214,PGE1,Dyspepsia,0.057499999999999996
CID100000214,PGE1,Oedema,0.011
CID100000214,PGE1,Rash,0.041666666666666664
CID100000214,PGE1,Dermatitis,0.041666666666666664
CID100000214,PGE1,Headache,0.08757743999999999
CID100000214,PGE1,Cardiac arrest,0.011
CID100000214,PGE1,Haematoma,0.0525822
CID100000214,PGE1,Haematuria,0.052500000000000005
CID100000214,PGE1,Haemorrhage,0.0821597
CID100000214,PGE1,Haemoglobin,0.08215969999999999
CID100000214,PGE1,Hypertension,0.20500000000000002
CID100000214,PGE1,Hypokalaemia,0.011
CID100000214,PGE1,Influenza,0.21999999999999997
CID100000214,PGE1,Pain in extremity,0.0122066
CID100000214,PGE1,Nasal congestion,0.13
CID100000214,PGE1,Nausea,0.07250000000000001
CID100000214,PGE1,Pain,0.051654925
CID100000214,PGE1,Penis disorder,0.03
CID100000214,PGE1,Peyronie's disease,0.03
CID100000214,PGE1,Pharyngitis,0.0825
CID100000214,PGE1,Prostatic disorder,0.15000000000000002
CID100000214,PGE1,Sinusitis,0.09694834
CID100000214,PGE1,Testicular pain,0.0825
CID100000214,PGE1,Upper respiratory tract infection,0.4
CID100000214,PGE1,Urinary tract infection,0.0825
CID100000214,PGE1,Injury,0.17500000000000002
CID100000214,PGE1,Injection site haemorrhage,0.02
CID100000214,PGE1,Penile oedema,0.01
CID100000214,PGE1,Sepsis,0.016
CID100000214,PGE1,Influenza like illness,0.0328638
CID100000214,PGE1,Penile pain,0.22505476666666668
CID100000214,PGE1,Tooth abscess,0.0625
CID100000214,PGE1,Injection site bruising,0.02
CID100000214,PGE1,Drug effect decreased,0.0005
CID100000214,PGE1,Abdominal pain,0.052500000000000005
CID100000214,PGE1,Injection site haematoma,0.03
CID100000214,PGE1,Drug ineffective,0.0005
CID100000214,PGE1,Device malfunction,0.0005
CID100000214,PGE1,Erection increased,0.0251643
CID100000232,arginine,Anaphylactic shock,0.0005
CID100000232,arginine,Extravasation,0.0005
CID100000232,arginine,Haematuria,0.0005
CID100000232,arginine,Hypersensitivity,0.0005
CID100000232,arginine,Skin exfoliation,0.0005
CID100000232,arginine,Skin necrosis,0.0005
CID100000232,arginine,Surgery,0.0005
CID100000247,betaine,Alopecia,0.003
CID100000247,betaine,Decreased appetite,0.003
CID100000247,betaine,Brain oedema,0.003833333333333333
CID100000247,betaine,Diarrhoea,0.003
CID100000247,betaine,Glossitis,0.003
CID100000247,betaine,Homocystinuria,0.0005
CID100000247,betaine,Irritability,0.003
CID100000247,betaine,Nausea,0.003
CID100000247,betaine,Personality disorder,0.003
CID100000247,betaine,Sleep disorder,0.003
CID100000247,betaine,Tooth disorder,0.003
CID100000247,betaine,Urinary incontinence,0.003
CID100000247,betaine,Urticaria,0.003
CID100000247,betaine,Vomiting,0.003
CID100000247,betaine,Agitation,0.003
CID100000247,betaine,Skin odour abnormal,0.0055
CID100000247,betaine,Abdominal discomfort,0.003
CID100000247,betaine,Hypermethioninaemia,0.0005
CID100000271,calcium,Asthenia,0.0005
CID100000271,calcium,Dizziness,0.0005
CID100000271,calcium,Oedema,0.0005
CID100000271,calcium,Hypercalcaemia,0.144507
CID100000271,calcium,Nausea,0.0485763
CID100000271,calcium,Vomiting,0.0323842
CID100000311,citric,Diarrhoea,0.0005
CID100000311,citric,Nausea,0.0005
CID100000311,citric,Vomiting,0.0005
CID100000311,citric,Abdominal discomfort,0.0005
CID100000311,citric,Gastrointestinal tract irritation,0.0005
CID100000444,bupropion,Gastrointestinal pain,0.028636363636363637
CID100000444,bupropion,Abdominal pain,0.028636363636363637
CID100000444,bupropion,Aggression,0.0005
CID100000444,bupropion,Alopecia,0.003
CID100000444,bupropion,Amblyopia,0.0808125
CID100000444,bupropion,Amnesia,0.0005
CID100000444,bupropion,Anaemia,0.0005
CID100000444,bupropion,Angioedema,0.0005
CID100000444,bupropion,Decreased appetite,0.0456
CID100000444,bupropion,Anxiety,0.04830769230769231
CID100000444,bupropion,Aphasia,0.0005
CID100000444,bupropion,Arrhythmia,0.048
CID100000444,bupropion,Arthralgia,0.020863636363636365
CID100000444,bupropion,Musculoskeletal discomfort,0.024695652173913046
CID100000444,bupropion,Arthritis,0.013083333333333334
CID100000444,bupropion,Asthenia,0.0859375
CID100000444,bupropion,Ataxia,0.16866666666666666
CID100000444,bupropion,Back pain,0.019999999999999997
CID100000444,bupropion,Breast disorder,0.0125
CID100000444,bupropion,Bronchospasm,0.0005
CID100000444,bupropion,Bronchitis,0.0065
CID100000444,bupropion,Bruxism,0.003
CID100000444,bupropion,Cardiovascular disorder,0.0005
CID100000444,bupropion,Neck pain,0.008833333333333334
CID100000444,bupropion,Chest pain,0.0171875
CID100000444,bupropion,Musculoskeletal chest pain,0.0021666666666666666
CID100000444,bupropion,Colitis,0.0005
CID100000444,bupropion,Coma,0.0005
CID100000444,bupropion,Infection,0.05964285714285714
CID100000444,bupropion,Confusional state,0.03475
CID100000444,bupropion,Feeling abnormal,0.02333333333333333
CID100000444,bupropion,Constipation,0.08876923076923078
CID100000444,bupropion,Cough,0.026500000000000003
CID100000444,bupropion,Cystitis noninfective,0.0005
CID100000444,bupropion,Cystitis,0.0005
CID100000444,bupropion,Bladder pain,0.0005
CID100000444,bupropion,Deafness,0.0005
CID100000444,bupropion,Disturbance in sexual arousal,0.06438888888888888
CID100000444,bupropion,Libido decreased,0.01057142857142857
CID100000444,bupropion,Dysphagia,0.0052
CID100000444,bupropion,Delirium,0.0005
CID100000444,bupropion,Delusion,0.007833333333333333
CID100000444,bupropion,Depersonalisation,0.003
CID100000444,bupropion,Dermatitis exfoliative,0.0005
CID100000444,bupropion,Diarrhoea,0.051727272727272726
CID100000444,bupropion,Diplopia,0.09599999999999999
CID100000444,bupropion,Dizziness,0.07241176470588236
CID100000444,bupropion,Osteoarthritis,0.003
CID100000444,bupropion,Dysarthria,0.003
CID100000444,bupropion,Dysgeusia,0.017750000000000002
CID100000444,bupropion,Dyskinesia,0.25275
CID100000444,bupropion,Dysmenorrhoea,0.0125
CID100000444,bupropion,Dyspepsia,0.0936
CID100000444,bupropion,Dyspnoea,0.007666666666666666
CID100000444,bupropion,Dysuria,0.0005
CID100000444,bupropion,Ecchymosis,0.003
CID100000444,bupropion,Oedema,0.17033333333333334
CID100000444,bupropion,Enuresis,0.0005
CID100000444,bupropion,Epistaxis,0.007625
CID100000444,bupropion,Erythema multiforme,0.0005
CID100000444,bupropion,Oesophagitis,0.0005
CID100000444,bupropion,Rash,0.05420588235294117
CID100000444,bupropion,Dermatitis,0.05420588235294118
CID100000444,bupropion,Extrapyramidal disorder,0.0005
CID100000444,bupropion,Fatigue,0.068
CID100000444,bupropion,Body temperature increased,0.09208333333333334
CID100000444,bupropion,Flatulence,0.09507142857142857
CID100000444,bupropion,Flushing,0.011300000000000001
CID100000444,bupropion,Female sexual arousal disorder,0.0055
CID100000444,bupropion,Gastrooesophageal reflux disease,0.003
CID100000444,bupropion,Gastrointestinal disorder,0.17708066666666666
CID100000444,bupropion,Gastrointestinal haemorrhage,0.0005
CID100000444,bupropion,Gingival bleeding,0.0005
CID100000444,bupropion,Gingivitis,0.003
CID100000444,bupropion,Angle closure glaucoma,0.0005
CID100000444,bupropion,Glossitis,0.0021666666666666666
CID100000444,bupropion,Glycosuria,0.0005
CID100000444,bupropion,Gynaecomastia,0.003
CID100000444,bupropion,Hallucination,0.25275
CID100000444,bupropion,Headache,0.23950000000000002
CID100000444,bupropion,Hepatitis,0.0005
CID100000444,bupropion,Inguinal hernia,0.003
CID100000444,bupropion,Hirsutism,0.0005
CID100000444,bupropion,Hostility,0.025
CID100000444,bupropion,Hyperglycaemia,0.0005
CID100000444,bupropion,Hyperhidrosis,0.10955000000000001
CID100000444,bupropion,Hypersensitivity,0.0035
CID100000444,bupropion,Type IV hypersensitivity reaction,0.0005
CID100000444,bupropion,Hypertension,0.0124375
CID100000444,bupropion,Hypoaesthesia,0.003
CID100000444,bupropion,Hypoglycaemia,0.0005
CID100000444,bupropion,Hypotension,0.015833333333333335
CID100000444,bupropion,Orthostatic hypotension,0.003
CID100000444,bupropion,Inappropriate antidiuretic hormone secretion,0.0005
CID100000444,bupropion,Libido increased,0.25275
CID100000444,bupropion,Influenza,0.039
CID100000444,bupropion,Intestinal perforation,0.0005
CID100000444,bupropion,Irritability,0.07327777777777778
CID100000444,bupropion,Jaundice,0.003
CID100000444,bupropion,Dry eye,0.003
CID100000444,bupropion,Muscle spasms,0.013888888888888888
CID100000444,bupropion,Leukocytosis,0.0005
CID100000444,bupropion,Leukopenia,0.0005
CID100000444,bupropion,Mediastinal disorder,0.035
CID100000444,bupropion,Menopause,0.0005
CID100000444,bupropion,Hypertonia,0.0066
CID100000444,bupropion,Muscle rigidity,0.0005
CID100000444,bupropion,Mydriasis,0.003
CID100000444,bupropion,Myocardial infarction,0.0005
CID100000444,bupropion,Acute coronary syndrome,0.0005
CID100000444,bupropion,Myoclonus,0.505
CID100000444,bupropion,Nasopharyngitis,0.125
CID100000444,bupropion,Nausea,0.0915625
CID100000444,bupropion,Nervous system disorder,0.30448949999999997
CID100000444,bupropion,Nervousness,0.030181818181818185
CID100000444,bupropion,Tension,0.030699999999999998
CID100000444,bupropion,Neuralgia,0.0005
CID100000444,bupropion,Nocturia,0.505
CID100000444,bupropion,Ovarian disorder,0.0005
CID100000444,bupropion,Pain,0.014944444444444446
CID100000444,bupropion,Pain in extremity,0.023333333333333334
CID100000444,bupropion,Pallor,0.0005
CID100000444,bupropion,Palpitations,0.0214
CID100000444,bupropion,Pancreatitis,0.0005
CID100000444,bupropion,Pancytopenia,0.0005
CID100000444,bupropion,Paraesthesia,0.0092
CID100000444,bupropion,Pelvic infection,0.0005
CID100000444,bupropion,Pharyngitis,0.03
CID100000444,bupropion,Phlebitis,0.0005
CID100000444,bupropion,Pneumonia,0.0005
CID100000444,bupropion,Polyuria,0.003
CID100000444,bupropion,Urine output increased,0.003
CID100000444,bupropion,Prostatic disorder,0.003
CID100000444,bupropion,Pruritus,0.020583333333333332
CID100000444,bupropion,Psychotic disorder,0.0055000000000000005
CID100000444,bupropion,Pulmonary embolism,0.0005
CID100000444,bupropion,Rhabdomyolysis,0.0005
CID100000444,bupropion,Rhinitis,0.09457142857142857
CID100000444,bupropion,Salpingitis,0.0005
CID100000444,bupropion,Sciatica,0.0005
CID100000444,bupropion,Convulsion,0.16866666666666666
CID100000444,bupropion,Serum sickness,0.0005
CID100000444,bupropion,Salivary hypersecretion,0.003
CID100000444,bupropion,Sinusitis,0.024100000000000003
CID100000444,bupropion,Skin disorder,0.02266666666666667
CID100000444,bupropion,Stevens-Johnson syndrome,0.0005
CID100000444,bupropion,Gastric ulcer,0.0005
CID100000444,bupropion,Stomatitis,0.0970909090909091
CID100000444,bupropion,Cerebrovascular accident,0.003
CID100000444,bupropion,Completed suicide,0.0005
CID100000444,bupropion,Suicide attempt,0.0005
CID100000444,bupropion,Photosensitivity reaction,0.0029999999999999996
CID100000444,bupropion,Loss of consciousness,0.0045000000000000005
CID100000444,bupropion,Shock,0.0045000000000000005
CID100000444,bupropion,Syncope,0.0045000000000000005
CID100000444,bupropion,Tachycardia,0.032428571428571425
CID100000444,bupropion,Thirst,0.0062
CID100000444,bupropion,Thrombocytopenia,0.0005
CID100000444,bupropion,Tinnitus,0.019875
CID100000444,bupropion,Toothache,0.0055
CID100000444,bupropion,Tremor,0.04053846153846154
CID100000444,bupropion,Upper respiratory tract infection,0.08499999999999999
CID100000444,bupropion,Pollakiuria,0.059041666666666666
CID100000444,bupropion,Urinary incontinence,0.0005
CID100000444,bupropion,Urinary tract infection,0.007299999999999999
CID100000444,bupropion,Urethral disorder,0.0005
CID100000444,bupropion,Urinary tract disorder,0.0005
CID100000444,bupropion,Urticaria,0.0075
CID100000444,bupropion,Vaginal infection,0.0005
CID100000444,bupropion,Vaginal inflammation,0.0005
CID100000444,bupropion,Angiopathy,0.012874000000000002
CID100000444,bupropion,Vasodilation procedure,0.003
CID100000444,bupropion,Vertigo,0.003
CID100000444,bupropion,Vomiting,0.10765
CID100000444,bupropion,Weight increased,0.09225
CID100000444,bupropion,Weight decreased,0.232
CID100000444,bupropion,Dry mouth,0.134125
CID100000444,bupropion,Urinary retention,0.013833333333333331
CID100000444,bupropion,Chills,0.00575
CID100000444,bupropion,Skin odour abnormal,0.0005
CID100000444,bupropion,Micturition urgency,0.0065
CID100000444,bupropion,Akinesia,0.055499999999999994
CID100000444,bupropion,Agitation,0.08103125
CID100000444,bupropion,Mood swings,0.003
CID100000444,bupropion,Affect lability,0.003
CID100000444,bupropion,Oedema peripheral,0.003
CID100000444,bupropion,Hypokinesia,0.0005
CID100000444,bupropion,Hepatic function abnormal,0.003
CID100000444,bupropion,Mouth ulceration,0.0092
CID100000444,bupropion,Migraine,0.048999999999999995
CID100000444,bupropion,Application site reaction,0.125
CID100000444,bupropion,Atrioventricular block complete,0.0005
CID100000444,bupropion,Tongue oedema,0.0005
CID100000444,bupropion,Tongue disorder,0.0005
CID100000444,bupropion,Electroencephalogram abnormal,0.0005
CID100000444,bupropion,Injury,0.0145
CID100000444,bupropion,Hepatocellular injury,0.003
CID100000444,bupropion,Liver injury,0.003
CID100000444,bupropion,Mania,0.3368333333333333
CID100000444,bupropion,Muscular weakness,0.0005
CID100000444,bupropion,Paranoia,0.003833333333333333
CID100000444,bupropion,Dry skin,0.0065
CID100000444,bupropion,Sensory disturbance,0.036000000000000004
CID100000444,bupropion,Malnutrition,0.025
CID100000444,bupropion,Malaise,0.0005
CID100000444,bupropion,Discomfort,0.0005
CID100000444,bupropion,Ill-defined disorder,0.0005
CID100000444,bupropion,Myalgia,0.028208333333333335
CID100000444,bupropion,Muscle twitching,0.007833333333333333
CID100000444,bupropion,Increased appetite,0.020999999999999998
CID100000444,bupropion,Disturbance in attention,0.03825
CID100000444,bupropion,Dysphoria,0.0085
CID100000444,bupropion,Bradykinesia,0.08299999999999999
CID100000444,bupropion,Mental disability,0.045799999999999993
CID100000444,bupropion,Derealisation,0.0005
CID100000444,bupropion,Memory impairment,0.0055
CID100000444,bupropion,Painful erection,0.003
CID100000444,bupropion,Abnormal dreams,0.025
CID100000444,bupropion,Intraocular pressure increased,0.0005
CID100000444,bupropion,Euphoric mood,0.005833333333333334
CID100000444,bupropion,Insomnia,0.18241176470588236
CID100000444,bupropion,Swollen tongue,0.0005
CID100000444,bupropion,Gingival pain,0.0055
CID100000444,bupropion,Hypomania,0.16866666666666666
CID100000444,bupropion,Erectile dysfunction,0.017750000000000002
CID100000444,bupropion,Parkinsonism,0.0155
CID100000444,bupropion,Hearing impaired,0.042499999999999996
CID100000444,bupropion,Painful ejaculation,0.0005
CID100000444,bupropion,Extrasystoles,0.003
CID100000444,bupropion,Vision blurred,0.11778571428571427
CID100000444,bupropion,Akathisia,0.013
CID100000444,bupropion,Influenza like illness,0.25275
CID100000444,bupropion,Rash maculo-papular,0.0005
CID100000444,bupropion,Suicidal ideation,0.0021666666666666666
CID100000444,bupropion,Hyperkinesia,0.003
CID100000444,bupropion,Neuropathy peripheral,0.0005
CID100000444,bupropion,Hair colour changes,0.0005
CID100000444,bupropion,Lymphadenopathy,0.0005
CID100000444,bupropion,Coordination abnormal,0.17033333333333334
CID100000444,bupropion,Face oedema,0.0035
CID100000444,bupropion,Visual impairment,0.003
CID100000444,bupropion,Feeling jittery,0.025
